Chain_Name,Wormhole_Chain_Id,Address
solana,1,worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth
ethereum,2,0x98f3c9e6E3fAce36bAAd05FE09d375Ef1464288B
terra,3,terra1dq03ugtd40zu9hcgdzrsq6z2z4hwhc9tqk2uy5
bsc,4,0x98f3c9e6E3fAce36bAAd05FE09d375Ef1464288B
polygon,5,0x7A4B5a56256163F07b2C80A7cA55aBE66c4ec4d7
avalanche,6,0x54a8e5f9c4CbA08F9943965859F6c34eAF03E26c
oasis,7,0xfE8cD454b4A1CA468B57D79c0cc77Ef5B6f64585
algorand,8,842125965
aurora,9,0xa321448d90d4e5b0A732867c18eA198e75CAC48E
fantom,10,0x126783A6Cb203a3E35344528B26ca3a0489a1485
karura,11,0xa321448d90d4e5b0A732867c18eA198e75CAC48E
acala,12,0xa321448d90d4e5b0A732867c18eA198e75CAC48E
klaytn,13,0x0C21603c4f3a6387e241c0091A7EA39E43E90bb7
celo,14,0xa321448d90d4e5b0A732867c18eA198e75CAC48E
near,15,contract.wormhole_crypto.near
moonbeam,16,0xC8e2b0cD52Cf01b0Ce87d389Daa3d414d4cE29f3
terra2,18,terra12mrnzvhx3rpej6843uge2yyfppfyd3u9c3uq223q8sl48huz9juqffcnhp
injective,19,inj17p9rzwnnfxcjp32un9ug7yhhzgtkhvl9l2q74d
sui,21,0xaeab97f96cf9877fee2883315d459552b2b921edc16d7ceac6eab944dd88919c
aptos,22,0x5bc11445584a763c1fa7ed39081f1b920954da14e04b32440cba863d03e19625
arbitrum,23,0xa5f208e072434bC67592E4C49C1B991BA79BCA46
optimism,24,0xEe91C335eab126dF5fDB3797EA9d6aD93aeC9722
gnosis,25,0xa321448d90d4e5b0A732867c18eA198e75CAC48E
pythnet,26,H3fxXJ86ADW2PNuDDmZJg6mzTtPxkYCpNuQUTgmJ7AjU
xpla,28,xpla1jn8qmdda5m6f6fqu9qv46rt7ajhklg40ukpqchkejcvy8x7w26cqxamv3w
base,30,0xbebdb6C8ddC678FfA9f8748f85C815C556Dd8ac6
sei,32,sei1gjrrme22cyha4ht2xapn3f08zzw6z3d4uxx6fyy9zd5dyr3yxgzqqncdqn